,0
"(Timestamp('2017-04-01 09:00:00+0000', tz='UTC'), 'Member1')",0.0
"(Timestamp('2017-04-01 09:00:00+0000', tz='UTC'), 'Member2')",0.0
"(Timestamp('2017-04-01 09:00:00+0000', tz='UTC'), 'Member3')",0.0
"(Timestamp('2017-04-01 09:00:00+0000', tz='UTC'), 'Member4')",0.0
"(Timestamp('2017-04-01 09:00:00+0000', tz='UTC'), 'Member5')",0.0
"(Timestamp('2017-04-01 09:15:00+0000', tz='UTC'), 'Member1')",-3.643801
"(Timestamp('2017-04-01 09:15:00+0000', tz='UTC'), 'Member2')",-3.4702867
"(Timestamp('2017-04-01 09:15:00+0000', tz='UTC'), 'Member3')",-3.643801
"(Timestamp('2017-04-01 09:15:00+0000', tz='UTC'), 'Member4')",-3.643801
"(Timestamp('2017-04-01 09:15:00+0000', tz='UTC'), 'Member5')",-3.643801
"(Timestamp('2017-04-01 09:30:00+0000', tz='UTC'), 'Member1')",-3.643801
"(Timestamp('2017-04-01 09:30:00+0000', tz='UTC'), 'Member2')",-3.4702867
"(Timestamp('2017-04-01 09:30:00+0000', tz='UTC'), 'Member3')",-3.643801
"(Timestamp('2017-04-01 09:30:00+0000', tz='UTC'), 'Member4')",-3.643801
"(Timestamp('2017-04-01 09:30:00+0000', tz='UTC'), 'Member5')",-3.643801
"(Timestamp('2017-04-01 09:45:00+0000', tz='UTC'), 'Member1')",-3.643801
"(Timestamp('2017-04-01 09:45:00+0000', tz='UTC'), 'Member2')",-3.4702867
"(Timestamp('2017-04-01 09:45:00+0000', tz='UTC'), 'Member3')",-3.643801
"(Timestamp('2017-04-01 09:45:00+0000', tz='UTC'), 'Member4')",-3.643801
"(Timestamp('2017-04-01 09:45:00+0000', tz='UTC'), 'Member5')",-3.643801
"(Timestamp('2017-04-01 10:00:00+0000', tz='UTC'), 'Member1')",-3.643801
"(Timestamp('2017-04-01 10:00:00+0000', tz='UTC'), 'Member2')",-3.4702867
"(Timestamp('2017-04-01 10:00:00+0000', tz='UTC'), 'Member3')",-3.643801
"(Timestamp('2017-04-01 10:00:00+0000', tz='UTC'), 'Member4')",-3.643801
"(Timestamp('2017-04-01 10:00:00+0000', tz='UTC'), 'Member5')",-3.643801
"(Timestamp('2017-04-01 10:15:00+0000', tz='UTC'), 'Member1')",-3.643801
"(Timestamp('2017-04-01 10:15:00+0000', tz='UTC'), 'Member2')",-3.4702867
"(Timestamp('2017-04-01 10:15:00+0000', tz='UTC'), 'Member3')",-3.643801
"(Timestamp('2017-04-01 10:15:00+0000', tz='UTC'), 'Member4')",-3.643801
"(Timestamp('2017-04-01 10:15:00+0000', tz='UTC'), 'Member5')",-3.643801
