,member_1,member_3,member_4,member_6,member_7,member_8,member_9,member_10,member_11,member_12,member_13,member_14,member_15,member_16,member_17,member_18,member_19,member_20,member_21,member_22,member_23,member_24,member_25
2020-12-31 23:00:00,38.3625,18.2,848.75,3.1500000000000004,1.92,9.35,0.0,0.0,314.29999999999995,27.650000000000002,6.775,0.0,21.0,0.0,4.62,32.55,0.0,16.8,37.879999999999995,52.5,154.35,0.5125,0.0
2021-01-01 00:00:00,38.212500000000006,20.65,854.0,3.1500000000000004,1.6800000000000002,9.8875,0.0,0.0,312.2,25.55,4.15,0.0,19.25,0.0,4.585000000000001,31.5,0.0,17.5,62.879999999999995,51.625,151.2,0.5,0.0
2021-01-01 01:00:00,37.2375,15.05,862.75,3.5,1.1,9.162500000000001,0.0,0.0,315.0,26.25,4.2,0.0,21.0,0.0,5.635000000000001,31.5,0.0,17.85,91.26,56.875,116.9,0.525,0.0
2021-01-01 02:00:00,40.125,17.5,857.5,2.4499999999999997,1.12,9.5375,0.0,0.0,314.3,26.95,4.2,0.0,19.25,0.0,4.6899999999999995,37.8,0.0,19.950000000000003,82.58,54.25,113.4,0.5125,0.0
2021-01-01 03:00:00,40.5,18.9,866.25,3.8499999999999996,1.1800000000000002,9.475,0.0,0.0,314.3,27.3,4.0,0.0,24.5,0.0,4.654999999999999,33.25,0.0,20.3,70.08,53.375,124.25,0.7750000000000001,0.0
2021-01-01 04:00:00,34.65,17.15,871.5,3.1499999999999995,1.1600000000000001,9.5,0.0,0.0,313.6,36.75,3.85,0.0,28.0,0.0,4.725,35.35,0.0,22.75,60.84,56.0,146.3,0.9875,0.0
2021-01-01 05:00:00,41.962500000000006,22.05,869.75,2.8,2.96,9.475000000000001,0.0,0.0,311.5,39.2,11.075000000000001,0.0,26.25,0.0,4.6899999999999995,39.900000000000006,0.0,34.3,59.9,57.75,168.0,0.95,0.0
2021-01-01 06:00:00,38.2125,22.75,885.5,3.1500000000000004,3.18,10.025,0.0,0.0,314.29999999999995,38.85,12.0,0.0,28.0,0.0,5.25,46.9,0.0,31.85,55.92,56.875,163.45,1.0375,0.0
2021-01-01 07:00:00,40.3125,19.950000000000003,871.5,2.0999999999999996,3.08,9.049999999999999,0.0,0.0,310.8,35.35,11.075000000000001,0.0,26.25,0.0,4.865,41.3,0.0,26.95,59.580000000000005,55.125,143.5,0.9875,0.0
2021-01-01 08:00:00,35.775,21.35,862.75,2.8,2.6799999999999997,6.637499999999999,0.025,0.0,315.0,35.7,6.700000000000001,0.0,24.5,0.0,3.3600000000000003,32.55,0.0,19.6,61.4,42.0,115.15,0.625,0.0
2021-01-01 09:00:00,42.4875,20.299999999999997,848.75,2.4499999999999997,2.88,3.35,2.75,0.0,314.29999999999995,36.05,1.0999999999999999,0.7,24.5,0.0,1.4000000000000001,32.550000000000004,3.9999999999999996,10.85,57.959999999999994,31.5,90.65,0.5375000000000001,0.0
2021-01-01 10:00:00,40.0875,18.2,836.5,2.0999999999999996,2.2600000000000002,0.5625,7.725,0.0,315.0,33.6,0.15000000000000002,2.765,22.75,0.0,0.385,32.199999999999996,10.05,5.95,60.06,20.125,74.55,0.5375000000000001,0.0
2021-01-01 11:00:00,37.425,18.2,854.0,2.45,2.2600000000000002,1.3625,0.9625,0.0,315.0,37.800000000000004,0.325,0.42,24.5,0.0,0.9099999999999999,31.85,2.0999999999999996,11.200000000000001,65.06,25.375,104.30000000000001,0.525,0.0
2021-01-01 12:00:00,39.3375,18.200000000000003,848.75,2.0999999999999996,1.88,1.7125,0.8750000000000001,0.0,317.1,35.0,0.5,0.31500000000000006,22.75,0.0,1.0150000000000001,32.550000000000004,2.05,12.95,63.300000000000004,35.0,91.35,0.5375000000000001,0.0
2021-01-01 13:00:00,39.449999999999996,19.25,866.25,2.8,2.14,5.375,0.0,0.0,315.7,32.9,4.975,0.0,22.75,0.0,3.15,33.25,0.0,18.2,61.99999999999999,44.625,98.0,0.5375000000000001,0.0
2021-01-01 14:00:00,36.75,18.900000000000002,861.0,2.4499999999999997,1.1400000000000001,6.4,0.0,0.0,314.3,32.900000000000006,5.8500000000000005,0.0,21.0,0.0,3.6049999999999995,31.15,0.0,19.6,53.06,46.375,112.35,0.5125,0.0
