,member_1,member_10,member_11,member_12,member_13,member_14,member_15,member_16,member_17,member_18,member_19,member_20,member_21,member_22,member_23,member_24,member_25,member_3,member_4,member_6,member_7,member_8,member_9
2020-12-31 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 00:00:00,0.0,0.0,101.23075684389133,25.55,0.0,0.0,0.0,0.0,4.585000000000001,0.0,0.0,17.5,0.0,0.0,151.2,0.5,0.0,20.65,854.0,3.1500000000000004,0.0,0.0,0.0
2021-01-01 01:00:00,0.0,0.0,315.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,17.85,91.26,56.875,116.9,0.525,0.0,0.0,862.75,0.0,1.1,0.0,0.0
2021-01-01 02:00:00,0.0,0.0,314.3,0.0,0.0,0.0,0.0,0.0,4.69,0.0,0.0,19.950000000000003,82.58,0.0,113.4,0.5125,0.0,17.5,857.5,2.45,0.0,0.0,0.0
2021-01-01 03:00:00,0.0,0.0,314.3,0.0,0.0,0.0,0.0,0.0,0.0,33.25,0.0,20.3,70.08,53.375,0.0,0.7750000000000001,0.0,0.0,866.25,3.85,0.0,0.0,0.0
2021-01-01 04:00:00,0.0,0.0,313.6,0.0,0.0,0.0,0.0,0.0,4.725,0.0,0.0,22.75,60.84,0.0,146.3,0.9875,0.0,17.15,871.5,3.1499999999999995,0.0,0.0,0.0
2021-01-01 05:00:00,0.0,0.0,311.5,0.0,0.0,0.0,26.25,0.0,4.69,0.0,0.0,34.3,59.9,0.0,168.0,0.95,0.0,22.05,869.75,2.8,0.0,0.0,0.0
2021-01-01 06:00:00,0.0,0.0,314.29999999999995,38.85,0.0,0.0,0.0,0.0,0.0,46.9,0.0,31.85,0.0,56.875,163.45,1.0375,0.0,22.75,885.5,3.1500000000000004,0.0,0.0,0.0
2021-01-01 07:00:00,0.0,0.0,310.8,35.35,0.0,0.0,26.25,0.0,4.865,0.0,0.0,26.95,59.580000000000005,55.125,143.5,0.9875,0.0,19.950000000000003,871.5,2.1,1.0581773328745894,0.0,0.0
2021-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
