,b,p
member_1,1000.0,1000.0
member_10,1.9200000000000002,35.281056522780986
member_11,632.907729468326,1000.0
member_12,681.2105263157895,1000.0
member_13,290.46744765295944,581.8723872575949
member_14,0.0,42.418684803319586
member_15,532.0528944039421,1000.0
member_16,0.0,0.0
member_17,53.806885241519915,48.055669995535126
member_18,628.2191721064769,1000.0
member_19,0.0,127.6764696899047
member_20,0.0,0.0
member_21,482.31667480163986,382.39810888515666
member_22,767.3642634292423,483.60354893640545
member_23,933.3454943040273,1000.0
member_24,0.0,0.8857590238543691
member_25,0.0,48.25684639407076
member_3,153.02423737620052,153.35954183255106
member_4,0.0,1000.0
member_6,54.89473684210525,127.95371912037541
member_7,26.82105263157895,1000.0
member_8,0.0,0.0
member_9,7.5,154.84162871371046
