,0
member_1,225859.23545995128
member_3,44494.62088237161
member_4,1555497.4837705463
member_6,17484.34130048067
member_7,43191.898624733265
member_8,12388.044740975118
member_9,8544.710552570168
member_10,6594.127525962892
member_11,860721.5250495421
member_12,140986.91269553913
member_13,67134.91939481777
member_14,4053.743763187762
member_15,147789.8182312282
member_16,3528.1820000000034
member_17,11236.036637267545
member_18,312847.470060055
member_19,8602.0936845313
member_20,188262.7768328487
member_21,85772.89321640649
member_22,187914.27803883818
member_23,185864.85663084144
member_24,3720.7675720329153
member_25,4070.6575842133975
